freq_hz,wsi,loc,grad,phase_disorder,coh_mean,admissible
10.00,0.0639,0.4230,0.8848,0.2477,0.9291,true
11.99,0.1356,0.3098,0.7562,0.3338,0.9282,true
13.98,0.1599,0.3097,0.5665,0.3528,0.9181,true
15.98,0.1616,0.1647,0.2804,0.3489,0.9181,true
17.97,0.0805,0.2177,0.1998,0.3219,0.9355,true
19.96,0.0525,0.3744,0.5985,0.4206,0.8924,true
21.95,0.1183,0.4994,0.6747,0.4542,0.9531,true
23.94,0.1185,0.3933,0.3400,0.3068,0.9451,true
25.94,0.0609,0.1738,0.4099,0.3413,0.8715,true
27.93,0.0868,0.2691,0.7939,0.4059,0.9390,true
29.92,0.1707,0.2950,0.7357,0.4480,0.8821,true
31.91,0.1752,0.1298,0.5743,0.3030,0.8888,true
33.90,0.1996,0.4961,0.3614,0.4299,0.9117,true
35.90,0.1256,0.4734,0.1772,0.2690,0.8862,true
37.89,0.0822,0.2331,0.3933,0.2955,0.9405,true
39.88,0.0879,0.2480,0.4101,0.3385,0.9368,true
41.87,0.0506,0.2618,0.4979,0.3331,0.9644,true
43.86,0.0886,0.4497,0.8213,0.3716,0.9001,true
45.86,0.1706,0.4026,0.7218,0.3593,0.8830,true
47.85,0.1719,0.3277,0.4924,0.4412,0.9669,true
49.84,0.1693,0.1384,0.5686,0.4704,0.8828,true
51.83,0.1987,0.3467,0.2423,0.4660,0.9418,true
53.82,0.0759,0.3643,0.1351,0.3686,0.9051,true
55.82,0.0658,0.4071,0.5371,0.2342,0.9052,true
57.81,0.0911,0.3440,0.6036,0.3850,0.9342,true
59.80,0.1055,0.1353,0.6267,0.4406,0.8821,true
61.79,0.1393,0.4660,0.3926,0.3842,0.8790,true
63.78,0.0674,0.4017,0.3652,0.4134,0.9024,true
65.78,0.0911,0.2062,0.4631,0.2532,0.8715,true
67.77,0.0554,0.2561,0.3961,0.3088,0.9291,true
69.76,0.0544,0.2192,0.6599,0.3901,0.9029,true
71.75,0.1158,0.1739,0.4944,0.4178,0.9129,true
73.74,0.0538,0.4390,0.6756,0.3421,0.9405,true
75.74,0.1820,0.4595,0.4978,0.3336,0.8901,true
77.73,0.0545,0.1235,0.4563,0.3912,0.9451,true
79.72,0.1675,0.2231,0.6198,0.4510,0.8999,true
