freq_hz,H_mag,coherence,phase_deg
10.00,0.022778,0.9291,167.21
11.99,0.030322,0.9282,167.23
13.98,0.030079,0.9181,167.26
15.98,0.040071,0.9181,167.28
17.97,0.032778,0.9355,167.31
19.96,0.041852,0.8924,167.34
21.95,0.059329,0.9531,167.36
23.94,0.042729,0.9451,167.39
25.94,0.053204,0.8715,167.42
27.93,0.024118,0.9390,167.45
29.92,0.054895,0.8821,167.48
31.91,0.047248,0.8888,167.51
33.90,0.030487,0.9117,167.54
35.90,0.055908,0.8862,167.57
37.89,0.032252,0.9405,167.60
39.88,0.021756,0.9368,167.63
41.87,0.024759,0.9644,167.66
43.86,0.026237,0.9001,167.69
45.86,0.057128,0.8830,167.73
47.85,0.046304,0.9669,167.76
49.84,0.023487,0.8828,167.80
51.83,0.024409,0.9418,167.83
53.82,0.045797,0.9051,167.87
55.82,0.060893,0.9052,167.91
57.81,0.033792,0.9342,167.95
59.80,0.053369,0.8821,167.98
61.79,0.028808,0.8790,168.02
63.78,0.052446,0.9024,168.07
65.78,0.029662,0.8715,168.11
67.77,0.058668,0.9291,168.15
69.76,0.021567,0.9029,168.19
71.75,0.049131,0.9129,168.24
73.74,0.050483,0.9405,168.29
75.74,0.056452,0.8901,168.33
77.73,0.029134,0.9451,168.38
79.72,0.034472,0.8999,168.43
81.71,0.026607,0.9551,168.48
83.70,0.032620,0.9288,168.54
85.70,0.059695,0.9445,168.59
87.69,0.029096,0.9342,168.65
89.68,0.024672,0.8829,168.70
91.67,0.049497,0.8817,168.76
93.66,0.059245,0.9071,168.82
95.66,0.022824,0.8736,168.89
97.65,0.061451,0.8761,168.95
99.64,0.027771,0.8746,169.02
101.63,0.029785,0.9048,169.09
103.62,0.041669,0.9156,169.16
105.62,0.024279,0.9394,169.24
107.61,0.021956,0.9022,169.31
109.60,0.031585,0.9650,169.39
111.59,0.034466,0.8745,169.48
113.58,0.044474,0.8925,169.56
115.58,0.053272,0.9082,169.65
117.57,0.039519,0.9174,169.74
119.56,0.025142,0.9061,169.84
121.55,0.062926,0.9251,169.94
123.54,0.045729,0.9433,170.05
125.54,0.051478,0.9687,170.16
127.53,0.049952,0.9448,170.27
129.52,0.062382,0.9629,170.39
131.51,0.049313,0.9299,170.52
133.50,0.037002,0.9294,170.66
135.50,0.025933,0.9470,170.80
137.49,0.037228,0.9348,170.94
139.48,0.052572,0.9471,171.10
141.47,0.035721,0.9172,171.27
143.46,0.024929,0.9557,171.44
145.46,0.059310,0.8949,171.63
147.45,0.024519,0.9750,171.83
